KP01_01,KP01_02,KP01_03,KP01_04,KP01_05,KP05_01,KP05_02,KP05_03,KP05_04,KP05_05,KP06_01,KP06_02,KP06_03,KP06_04,KP06_05,KP02_01,KP02_02,KP02_03,KP02_04,KP02_05,KP03_01,KP03_02,KP03_03,KP03_04,KP03_05,KP04_01,KP04_02,KP04_03,KP04_04,KP04_05
6,6,7,5,5,4,5,6,4,3,6,5,6,4,5,7,6,7,7,6,7,6,6,5,7,5,5,6,5,6
5,5,4,4,6,3,4,3,4,5,5,3,3,3,3,5,5,5,4,5,6,6,5,7,7,3,4,5,6,6
3,3,3,2,6,3,3,3,4,4,4,4,4,4,4,5,4,5,5,4,5,5,3,4,4,1,3,3,3,6
6,6,5,5,,6,6,5,4,5,3,3,2,2,6,6,6,6,6,3,7,7,6,6,6,3,5,4,4,6
6,6,6,6,7,6,6,6,4,4,4,4,4,3,5,6,6,6,6,6,7,7,7,7,6,6,6,6,6,6
6,6,5,6,6,4,4,5,5,4,3,3,3,4,3,5,6,7,6,6,6,7,6,4,5,3,3,4,5,6
6,7,7,6,5,6,7,7,6,5,5,5,6,6,4,7,4,4,7,4,7,7,7,7,4,6,6,6,6,5
3,3,3,3,5,3,4,4,4,6,2,2,2,2,6,3,3,3,3,5,6,6,6,6,6,3,3,3,3,6
6,6,6,5,6,6,6,6,6,5,4,4,3,4,5,7,7,7,7,6,7,7,7,7,7,4,5,5,4,6
5,5,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,4,4,5,5,5,5,5,5,3,2,2,4
5,1,3,3,5,6,6,6,6,6,6,6,6,6,6,5,3,6,6,6,6,6,6,6,6,5,5,6,6,6
6,6,4,3,5,5,5,6,5,5,2,2,3,3,3,7,5,5,5,5,5,6,5,5,5,3,5,2,3,6
6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7
4,5,4,4,5,5,5,5,5,3,5,3,3,3,5,5,5,5,5,5,6,5,6,5,5,5,6,5,5,5
6,6,6,3,6,4,5,4,4,4,2,2,2,2,4,5,5,5,4,7,6,6,4,5,5,6,6,6,6,6
7,6,6,6,7,4,5,6,4,4,5,5,4,3,5,6,7,6,6,4,7,7,7,6,7,5,5,6,6,7
5,6,5,5,6,5,5,5,4,2,5,4,5,1,3,6,5,6,4,7,6,6,7,6,7,4,6,6,6,6
7,7,7,7,7,6,6,6,6,6,6,5,5,5,6,6,6,7,6,7,7,7,7,7,7,5,7,7,7,7
4,5,5,5,5,4,5,5,5,5,2,2,2,4,3,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6
7,4,3,1,7,5,5,5,5,6,5,6,6,6,6,5,4,5,5,6,6,6,6,6,6,5,5,6,6,6
7,7,7,7,7,7,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,7
7,5,5,5,7,6,6,6,6,6,6,5,5,5,6,4,4,6,,7,6,6,6,6,7,5,5,5,5,7
7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,6,7
6,5,6,5,4,7,6,6,7,4,7,7,7,7,4,5,5,5,5,4,7,7,7,6,4,6,6,6,7,4
5,5,5,5,5,6,6,6,6,6,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5
5,6,2,3,3,5,4,3,3,3,5,4,3,4,3,5,5,4,4,3,6,2,2,2,3,5,5,3,3,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,6,5,5,4,6,6,6,5,2,5,5,4,4,5,6,6,6,6,6,6,6,4,5,4,5,5,5,5,4
5,6,6,6,6,5,7,5,7,5,4,4,4,4,7,4,5,6,4,7,7,6,7,5,5,6,5,6,6,7
6,6,6,5,4,5,5,5,5,5,2,2,3,5,4,4,4,4,4,4,6,6,6,5,6,5,5,4,4,5
7,7,7,7,4,6,6,6,6,6,7,6,6,6,6,6,6,6,6,5,7,7,7,7,4,6,5,6,6,5
6,3,3,3,6,2,4,3,3,4,5,5,5,5,5,5,5,4,5,5,5,5,4,4,6,2,3,2,3,7
7,7,7,7,6,7,7,7,6,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7
3,3,3,2,6,2,1,2,1,7,3,3,4,2,6,3,4,5,4,6,3,3,2,3,5,2,2,1,1,6
6,6,5,4,6,5,4,4,4,6,5,4,2,2,6,5,5,6,4,6,7,7,7,7,7,3,2,2,5,6
3,3,2,2,3,6,7,5,4,4,6,6,4,5,5,6,4,5,5,4,7,7,7,7,7,4,4,4,4,4
5,7,7,5,5,4,4,5,4,4,3,3,3,3,3,5,5,6,5,5,5,6,6,5,5,3,4,4,4,4
6,6,4,4,3,5,5,6,6,5,6,6,6,6,6,3,3,5,4,3,6,6,7,6,5,7,7,7,7,6
7,6,7,5,7,5,5,6,5,5,5,6,6,4,5,7,7,7,7,7,7,7,7,7,6,5,5,5,5,7
5,6,6,4,6,4,4,4,3,3,4,4,4,4,1,5,4,4,4,6,6,6,6,5,6,3,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7,5,6,6,6,7,6,7,5,6,6,7,6,7,6,6,6,6,6,6,6,7,6,6,6,6,5,6,6,6
5,6,6,6,2,5,5,5,5,5,2,2,3,2,1,6,6,7,6,7,5,5,7,5,5,4,4,6,6,5
4,6,6,5,7,5,5,5,5,5,2,2,2,2,3,5,5,5,5,5,6,6,6,4,7,5,4,5,3,6
6,5,6,4,6,3,2,3,4,5,1,1,1,1,6,6,4,4,4,5,6,5,5,5,4,2,2,1,2,5
6,7,2,2,4,5,6,5,4,4,4,5,3,6,4,6,6,5,6,4,6,6,6,6,4,6,6,6,6,4
6,5,4,3,5,4,5,4,5,5,5,4,5,4,5,5,4,4,5,5,6,5,4,4,5,5,5,4,4,5
7,7,6,3,7,6,7,7,7,7,5,5,6,7,5,6,6,6,7,7,7,7,7,4,6,5,7,6,6,6
7,7,6,6,6,5,5,5,5,6,5,4,4,4,6,6,6,6,6,6,6,6,5,5,6,6,6,6,5,6
6,5,5,5,6,3,4,3,4,3,3,3,3,4,2,4,3,3,2,6,4,4,3,4,4,5,6,6,6,6
4,6,4,2,5,4,4,4,3,4,4,4,4,4,4,5,5,3,6,7,3,3,3,3,5,2,3,3,3,5
5,5,4,5,3,5,5,5,5,3,3,2,3,2,3,5,6,4,5,3,7,7,5,6,6,5,5,6,5,5
5,6,5,4,6,4,6,4,3,5,5,6,5,4,4,6,5,6,6,7,7,6,6,6,7,3,5,4,5,5
7,6,7,6,6,6,6,5,5,5,6,5,5,4,5,6,5,7,6,6,7,7,6,7,6,5,6,5,5,5
6,6,6,7,6,7,7,7,7,6,6,5,6,5,6,5,6,6,6,6,7,7,6,6,6,6,7,6,6,6
6,7,7,6,6,7,6,7,6,6,6,7,6,6,7,5,6,7,6,6,7,6,7,5,6,7,6,6,5,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
6,5,4,5,5,4,4,5,4,5,5,5,5,6,5,5,4,4,5,6,6,5,6,5,6,6,6,5,6,7
5,5,4,5,6,5,5,5,5,6,4,4,4,4,5,5,5,5,5,6,6,6,6,5,7,5,5,4,4,6
6,5,5,5,6,5,6,5,6,7,7,6,6,7,7,6,5,3,5,5,7,7,7,6,7,5,6,5,5,6
7,7,7,7,7,6,7,6,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7
6,4,5,6,6,6,7,6,7,7,6,5,6,6,6,6,7,6,7,7,7,7,7,7,6,6,7,6,6,6
6,5,6,6,7,6,6,6,6,7,5,6,6,6,5,7,6,7,7,7,,,,,,7,7,7,7,7
7,7,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,7,7,7,7,7,6,7,7,7,6,7,6
6,7,6,5,6,7,7,7,7,7,5,6,7,7,7,4,5,7,7,5,6,7,7,6,7,7,7,6,5,7
5,5,5,5,6,6,6,6,6,6,,,,,,5,6,6,6,6,6,6,6,6,6,5,5,5,5,6
7,6,5,7,7,6,7,7,6,7,7,5,6,7,7,7,5,6,7,7,7,6,7,7,7,6,7,6,7,7
7,7,7,7,7,6,7,6,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,5,6,6,6,6,6,6
6,5,6,7,4,6,6,6,7,6,4,4,5,3,4,4,6,6,6,5,7,7,6,3,6,6,6,5,3,5
6,5,5,5,6,6,6,6,6,6,6,3,5,5,6,5,6,6,6,6,6,6,6,5,6,7,6,5,5,6
6,6,6,6,6,6,7,6,6,6,7,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6
7,6,7,7,7,7,7,6,7,7,4,5,6,6,6,3,6,6,7,7,7,7,7,7,6,7,7,7,6,7
5,6,4,4,6,6,5,6,7,6,7,5,4,6,7,6,7,7,5,6,7,6,7,7,7,7,7,5,7,
7,4,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,5,7,7,6,7,7,7,6,6,7,7,4,7,7,6,7,7,7,7,7,7,6,6,5,6,7
5,6,7,7,7,6,7,7,7,7,5,5,6,6,7,6,7,5,6,6,7,6,6,5,5,5,6,6,5,7
7,7,7,7,7,6,7,7,7,7,5,5,5,5,7,6,7,7,6,7,7,7,7,7,,6,6,6,6,7
6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,6,7,7,7,7,7,7,7,7
6,6,6,6,5,6,6,6,6,5,7,6,7,7,5,4,5,4,4,4,6,6,6,7,5,5,6,6,4,4
5,5,5,5,6,4,4,4,4,5,3,4,3,4,5,5,5,6,6,6,5,5,5,5,5,4,5,5,5,6
6,5,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,7,6,6,6,6,7,6,6,6,7
6,7,5,6,7,6,5,7,6,2,4,4,3,2,6,6,7,7,7,5,6,6,4,7,4,7,7,7,7,7
6,5,5,6,5,6,6,6,6,5,3,3,3,3,4,6,7,7,7,5,7,6,7,6,7,5,5,5,5,7
5,7,5,6,6,6,6,5,5,6,6,5,6,6,6,6,6,5,5,6,7,7,7,6,6,6,6,6,7,6
